index,phase,period_ns,wake_ns,read_ns,command_ns,tracking_error,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
79,outward,7999983,55906,9565,23611,8.16155e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474882,0.00308422,0.00787664,0.474939
80,outward,8001178,57084,9648,24056,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474907,0.00314697,0.00780957,0.474939
81,outward,7998778,55862,9732,24342,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474932,0.00320915,0.00773629,0.474939
82,outward,8000288,56150,8407,24935,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474958,0.00327073,0.00765687,0.474956
83,outward,7999863,56013,10250,25722,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474984,0.00333165,0.00757138,0.474991
84,outward,7999926,55939,9630,24148,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475011,0.00339186,0.00747989,0.474991
85,outward,8000714,56653,9889,25518,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475039,0.00345131,0.00738248,0.475026
86,outward,7999242,55895,8445,23092,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475067,0.00350996,0.00727924,0.475026
87,outward,8000065,55960,9778,22899,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475095,0.00356776,0.00717024,0.475044
88,outward,8001483,57443,9870,25630,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475124,0.00362467,0.0070556,0.475061
89,outward,7998511,55954,9454,23564,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.475153,0.00368064,0.00693539,0.475079
