index,phase,period_ns,wake_ns,read_ns,command_ns,raw_tracking_error_rad,expected_lag_error_rad,dynamic_hard_threshold_rad,tracking_warning,hard_crossing,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
48,outward,8001530,59650,22037,48500,7.7506907282032245e-05,0.00012328028999976584,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47432513316924058,0.00087091636407179865,0.0062380139270198963,0.47424085626222223
49,outward,8002846,62496,22815,53046,8.4276907018343561e-05,0.00013063745461076978,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47433230241172814,0.00092168175285648314,0.006453633659589798,0.47424085626222223
50,outward,7996512,59008,22769,49751,9.1446149505902685e-05,0.00013825226292847246,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47433988469613636,0.00097417918587276546,0.006671009642389588,0.47424085626222223
51,outward,7999763,58771,22908,44565,9.9028433914127856e-05,0.0001461268778809148,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.4743478939340397,0.0010284223461965415,0.0068900503056567829,0.47424085626222223
52,outward,8001190,59961,22389,48574,0.00010703767181746704,0.00015426335192948121,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47435634414355743,0.001084424188222045,0.0071106650481233069,0.47424085626222223
53,outward,7999104,59065,22038,45658,0.00011548788133519672,0.00016266362823330675,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47436524944355501,0.0011421969453950444,0.0073327642333259864,0.47424085626222223
54,outward,8006291,65356,22250,45037,0.00012439318133278254,0.00017132954180925665,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47437462404790742,0.0012017521379165254,0.0075562591859170501,0.47424085626222223
55,outward,7993254,58610,22379,44685,0.00013376778568519043,0.00018026282068747879,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47438448225982366,0.0012631005804168514,0.0077810621879746255,0.47424085626222223
56,outward,8000864,59474,21796,42000,0.00014362599760142647,0.0001894650870625277,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47439483846623326,0.0013262523896004198,0.0080070864753132315,0.47424085626222223
57,outward,8001587,61061,26018,50296,0.00010162232734434173,0.00019893785844006298,0.013089969389957471,0,0,1.5697586776435382,0,0,1.5697491024666665,-0.028311217840653623,0,0,-0.028204520231111113,-0.77082919841452846,0,0,-0.77078974441000003,0.50528320471655586,0,0,0.50527280983333334,0.13460442399833941,0,0,0.13459978961777777,0.47440570713223285,0.0013912169918607893,0.0082342462337942832,0.47429321613888892
